"parent_model_code","line_no","component_model_code","quantity","unit_price","component_kind","set_head"
"AF70F19D24LS","1","AF70F19D24LN","1.00","1150000.00","INDOOR","True"
"AF70F19D24LS","2","AF70F19D2PBX","1.00","766000.00","OUTDOOR","False"
"AF70F19D24LS","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D24RRS","1","AF70F19D24RN","1.00","1117000.00","INDOOR","True"
"AF70F19D24RRS","2","AF70F19D2PBX","1.00","745000.00","OUTDOOR","False"
"AF70F19D24RRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F19D24RRS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D24RRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F19D24RS","1","AF70F19D24RN","1.00","1150000.00","INDOOR","True"
"AF70F19D24RS","2","AF70F19D2PBX","1.00","766000.00","OUTDOOR","False"
"AF70F19D24RS","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D25BRS","1","AF70F19D25BN","1.00","1207000.00","INDOOR","True"
"AF70F19D25BRS","2","AF70F19D2PBX","1.00","805000.00","OUTDOOR","False"
"AF70F19D25BRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F19D25BRS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D25BRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F19D25BS","1","AF70F19D25BN","1.00","1240000.00","INDOOR","True"
"AF70F19D25BS","2","AF70F19D2PBX","1.00","826000.00","OUTDOOR","False"
"AF70F19D25BS","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D25WRS","1","AF70F19D25WN","1.00","1207000.00","INDOOR","True"
"AF70F19D25WRS","2","AF70F19D2PBX","1.00","805000.00","OUTDOOR","False"
"AF70F19D25WRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F19D25WRS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D25WRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F19D25WS","1","AF70F19D25WN","1.00","1240000.00","INDOOR","True"
"AF70F19D25WS","2","AF70F19D2PBX","1.00","826000.00","OUTDOOR","False"
"AF70F19D25WS","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF80F18D27CRS","1","AF80F18D27CN","1.00","1504000.00","INDOOR","True"
"AF80F18D27CRS","2","AF80F18D21BX","1.00","1002000.00","OUTDOOR","False"
"AF80F18D27CRS","3","AR60F06D1A1Q","1.00","266000.00","ACCESSORY","False"
"AF80F18D27CRS","4","AFR-TC9F","1.00","34000.00","REMOTE","False"
"AF80F18D27CRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF80F18D27CS","1","AF80F18D27CN","1.00","1552000.00","INDOOR","True"
"AF80F18D27CS","2","AF80F18D21BX","1.00","1034000.00","OUTDOOR","False"
"AF80F18D27CS","3","AFR-TC9F","1.00","34000.00","REMOTE","False"
"AF80F18D28WRS","1","AF80F18D28WN","1.00","1688000.00","INDOOR","True"
"AF80F18D28WRS","2","AF80F18D21BX","1.00","1125000.00","OUTDOOR","False"
"AF80F18D28WRS","3","AR80F06D2A1Q","1.00","399000.00","ACCESSORY","False"
"AF80F18D28WRS","4","AFR-TC9F","1.00","34000.00","REMOTE","False"
"AF80F18D28WRS","5","ARR-PK8F","1.00","34000.00","REMOTE","False"
"AF80F18D28WS","1","AF80F18D28WN","1.00","1738000.00","INDOOR","True"
"AF80F18D28WS","2","AF80F18D21BX","1.00","1158000.00","OUTDOOR","False"
"AF80F18D28WS","3","AFR-TC9F","1.00","34000.00","REMOTE","False"
"AF80F20D27CRS","1","AF80F20D27CN","1.00","1750000.00","INDOOR","True"
"AF80F20D27CRS","2","AF80F20D2PBX","1.00","1166000.00","OUTDOOR","False"
"AF80F20D27CRS","3","AR60F06D1A1Q","1.00","266000.00","ACCESSORY","False"
"AF80F20D27CRS","4","AFR-TC9F","1.00","34000.00","REMOTE","False"
"AF80F20D27CRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF80F20D27CS","1","AF80F20D27CN","1.00","1798000.00","INDOOR","True"
"AF80F20D27CS","2","AF80F20D2PBX","1.00","1198000.00","OUTDOOR","False"
"AF80F20D27CS","3","AFR-TC9F","1.00","34000.00","REMOTE","False"
"AF80F20D28WRS","1","AF80F20D28WN","1.00","1934000.00","INDOOR","True"
"AF80F20D28WRS","2","AF80F20D2PBX","1.00","1289000.00","OUTDOOR","False"
"AF80F20D28WRS","3","AR80F06D2A1Q","1.00","399000.00","ACCESSORY","False"
"AF80F20D28WRS","4","AFR-TC9F","1.00","34000.00","REMOTE","False"
"AF80F20D28WRS","5","ARR-PK8F","1.00","34000.00","REMOTE","False"
"AF80F20D28WS","1","AF80F20D28WN","1.00","1984000.00","INDOOR","True"
"AF80F20D28WS","2","AF80F20D2PBX","1.00","1322000.00","OUTDOOR","False"
"AF80F20D28WS","3","AFR-TC9F","1.00","34000.00","REMOTE","False"
